,Country,HappinessScore,Year,Region,Code
872,Macedonia,5.159800053,2020,Central and Eastern Europe,MKD
873,Ghana,5.147999763,2020,Sub-Saharan Africa,GHA
874,Nepal,5.137199879,2020,Southern Asia,NPL
875,Turkey,5.131800175,2020,Middle East and Northern Africa,TUR
876,China,5.123899937,2020,Eastern Asia,CHN
877,Turkmenistan,5.119100094,2020,Central and Eastern Europe,TKM
878,Bulgaria,5.101500034,2020,Central and Eastern Europe,BGR
879,Morocco,5.094799995,2020,Middle East and Northern Africa,MAR
880,Cameroon,5.084899902,2020,Sub-Saharan Africa,CMR
881,Venezuela,5.053199768,2020,Latin America and Caribbean,VEN
882,Algeria,5.005099773,2020,Middle East and Northern Africa,DZA
883,Senegal,4.980800152,2020,Sub-Saharan Africa,SEN
884,Guinea,4.949299812,2020,Sub-Saharan Africa,GIN
885,Niger,4.909599781,2020,Sub-Saharan Africa,NER
886,Laos,4.888599873,2020,Southeastern Asia,LAO
887,Albania,4.882699966,2020,Central and Eastern Europe,ALB
888,Cambodia,4.848400116,2020,Southeastern Asia,KHM
889,Bangladesh,4.832799911,2020,Southern Asia,BGD
890,Gabon,4.829299927,2020,Sub-Saharan Africa,GAB
891,South Africa,4.814099789,2020,Sub-Saharan Africa,ZAF
892,Iraq,4.784800053,2020,Middle East and Northern Africa,IRQ
893,Lebanon,4.771500111,2020,Middle East and Northern Africa,LBN
894,Burkina Faso,4.768700123,2020,Sub-Saharan Africa,BFA
895,Gambia,4.750599861,2020,Middle East and Northern Africa,GMB
896,Mali,4.729300022,2020,Sub-Saharan Africa,MLI
897,Nigeria,4.724100113,2020,Sub-Saharan Africa,NGA
898,Armenia,4.676799774,2020,Central and Eastern Europe,ARM
899,Georgia,4.672599792,2020,Central and Eastern Europe,GEO
900,Iran,4.672399998,2020,Middle East and Northern Africa,IRN
901,Jordan,4.633399963,2020,Middle East and Northern Africa,JOR
902,Mozambique,4.623600006,2020,Sub-Saharan Africa,MOZ
903,Kenya,4.583000183,2020,Sub-Saharan Africa,KEN
904,Namibia,4.571100235,2020,Sub-Saharan Africa,NAM
905,Ukraine,4.56069994,2020,Central and Eastern Europe,UKR
906,Liberia,4.557899952,2020,Sub-Saharan Africa,LBR
907,Palestinian Territories,4.552800179,2020,Middle East and Northern Africa,PSE
908,Uganda,4.43200016,2020,Sub-Saharan Africa,UGA
909,Chad,4.422699928,2020,Sub-Saharan Africa,TCD
910,Tunisia,4.392199993,2020,Middle East and Northern Africa,TUN
911,Mauritania,4.374599934,2020,Sub-Saharan Africa,MRT
912,Sri Lanka,4.327000141,2020,Southern Asia,LKA
913,Congo (Kinshasa),4.31099987,2020,Sub-Saharan Africa,COD
914,Swaziland,4.308100224,2020,Sub-Saharan Africa,SWZ
915,Myanmar,4.308000088,2020,Southeastern Asia,MMR
916,Comoros,4.288599968,2020,Sub-Saharan Africa,COM
917,Togo,4.187200069,2020,Sub-Saharan Africa,TGO
918,Ethiopia,4.186200142,2020,Sub-Saharan Africa,ETH
919,Madagascar,4.165599823,2020,Sub-Saharan Africa,MDG
920,Egypt,4.151400089,2020,Middle East and Northern Africa,EGY
921,Sierra Leone,3.926399946,2020,Sub-Saharan Africa,SLE
922,Burundi,3.775300026,2020,Sub-Saharan Africa,BDI
923,Zambia,3.759399891,2020,Sub-Saharan Africa,ZMB
924,Haiti,3.720799923,2020,Latin America and Caribbean,HTI
925,Lesotho,3.652800083,2020,Sub-Saharan Africa,LSO
926,India,3.573299885,2020,Southern Asia,IND
927,Malawi,3.538000107,2020,Sub-Saharan Africa,MWI
928,Yemen,3.527400017,2020,Middle East and Northern Africa,YEM
929,Botswana,3.478899956,2020,Sub-Saharan Africa,BWA
930,Tanzania,3.476200104,2020,Sub-Saharan Africa,TZA
931,Central African Republic,3.475899935,2020,Sub-Saharan Africa,CAF
932,Rwanda,3.312299967,2020,Sub-Saharan Africa,RWA
933,Zimbabwe,3.299200058,2020,Sub-Saharan Africa,ZWE
934,South Sudan,2.816600084,2020,Sub-Saharan Africa,SSD
935,Afghanistan,2.566900015,2020,Southern Asia,AFG
